epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,558.126,3.46872,0.04464,0.20179,3.44766,0.000284986,9.49953e-05,0.000284986,9.49953e-05,0.000284986,9.49953e-05,0.000284986,9.49953e-05
2,885.9,3.36892,0.08036,0.325,3.26074,0.000548375,0.000182792,0.000548375,0.000182792,0.000548375,0.000182792,0.000548375,0.000182792
3,1137.23,3.19914,0.16786,0.5125,3.00944,0.000789113,0.000263038,0.000789113,0.000263038,0.000789113,0.000263038,0.000789113,0.000263038
4,1357.77,2.95783,0.24107,0.65714,2.71512,0.00075607,0.000252023,0.00075607,0.000252023,0.00075607,0.000252023,0.00075607,0.000252023
5,1576.41,2.72355,0.30357,0.70179,2.48614,0.000722093,0.000240698,0.000722093,0.000240698,0.000722093,0.000240698,0.000722093,0.000240698
6,1790.62,2.55023,0.34107,0.74107,2.28854,0.000688116,0.000229372,0.000688116,0.000229372,0.000688116,0.000229372,0.000688116,0.000229372
7,2012.2,2.39513,0.33393,0.75179,2.24184,0.000654139,0.000218046,0.000654139,0.000218046,0.000654139,0.000218046,0.000654139,0.000218046
8,2231.91,2.28941,0.35893,0.77143,2.11578,0.000620162,0.000206721,0.000620162,0.000206721,0.000620162,0.000206721,0.000620162,0.000206721
9,2454.74,2.17354,0.36607,0.77143,2.05107,0.000586186,0.000195395,0.000586186,0.000195395,0.000586186,0.000195395,0.000586186,0.000195395
10,2677.02,2.08666,0.37679,0.78393,2.0058,0.000552209,0.00018407,0.000552209,0.00018407,0.000552209,0.00018407,0.000552209,0.00018407
11,2904.5,2.05206,0.39464,0.80536,1.95808,0.000518232,0.000172744,0.000518232,0.000172744,0.000518232,0.000172744,0.000518232,0.000172744
12,3171.11,1.97772,0.35536,0.78214,2.01094,0.000484255,0.000161418,0.000484255,0.000161418,0.000484255,0.000161418,0.000484255,0.000161418
13,3385.93,1.9265,0.42679,0.81607,1.84612,0.000450278,0.000150093,0.000450278,0.000150093,0.000450278,0.000150093,0.000450278,0.000150093
14,3604.52,1.88289,0.40179,0.81429,1.86964,0.000416302,0.000138767,0.000416302,0.000138767,0.000416302,0.000138767,0.000416302,0.000138767
15,3824.97,1.86158,0.43036,0.82321,1.82637,0.000382325,0.000127442,0.000382325,0.000127442,0.000382325,0.000127442,0.000382325,0.000127442
16,4060.5,1.84353,0.42679,0.82857,1.83396,0.000348348,0.000116116,0.000348348,0.000116116,0.000348348,0.000116116,0.000348348,0.000116116
17,4271.37,1.80195,0.41964,0.82679,1.80236,0.000314371,0.00010479,0.000314371,0.00010479,0.000314371,0.00010479,0.000314371,0.00010479
18,4504.43,1.77064,0.425,0.82321,1.8059,0.000280394,9.34648e-05,0.000280394,9.34648e-05,0.000280394,9.34648e-05,0.000280394,9.34648e-05
19,4737.93,1.73751,0.4375,0.83036,1.7882,0.000246418,8.21392e-05,0.000246418,8.21392e-05,0.000246418,8.21392e-05,0.000246418,8.21392e-05
20,4973.11,1.73677,0.4375,0.82679,1.81542,0.000212441,7.08136e-05,0.000212441,7.08136e-05,0.000212441,7.08136e-05,0.000212441,7.08136e-05
21,5193.98,1.71053,0.44107,0.83393,1.77468,0.000178464,5.9488e-05,0.000178464,5.9488e-05,0.000178464,5.9488e-05,0.000178464,5.9488e-05
22,5406.06,1.72986,0.43929,0.82679,1.78698,0.000144487,4.81624e-05,0.000144487,4.81624e-05,0.000144487,4.81624e-05,0.000144487,4.81624e-05
23,5621.78,1.7262,0.45,0.82857,1.74901,0.00011051,3.68368e-05,0.00011051,3.68368e-05,0.00011051,3.68368e-05,0.00011051,3.68368e-05
